00001,10004,6,20001
00002,10005,12,20002
00003,10006,6,20003
00004,10007,11,20004
00005,10008,3,20005
00006,10009,8,20006
00007,10010,7,20007
00008,10011,10,20008
00009,10012,5,20009
00010,10013,1,20010
00011,10001,5,20011
00012,10002,5,20012
00013,10003,7,20013
00014,10004,3,20014
00015,10005,11,20015
00016,10006,2,20016
00017,10007,12,20017
00018,10011,9,20018
00019,10012,9,20019
00020,10013,7,20020
00021,10014,8,20021
00022,10015,11,20022
00023,10016,7,20023
00024,10017,12,20024
00025,10018,5,20025
00026,10004,3,20026
00027,10005,8,20027
00028,10006,7,20028
00029,10007,7,20029
00030,10008,5,20030
00031,10009,10,20031
00032,10013,10,20032
00033,10014,10,20033
00034,10015,8,20034
00035,10016,6,20035
00036,10017,5,20036
00037,10003,4,20037
00038,10004,1,20038
00039,10019,5,20039
00040,10001,9,20040
00041,10002,8,20041
00042,10003,9,20042
00043,10004,12,20043
00044,10005,10,20044
00045,10006,10,20045
00046,10007,7,20046
00047,10008,9,20047
00048,10009,5,20048
00049,10010,3,20049
